Borrowers,Categories,Lenders,Time of Loan Execution,Term of the Loan,External Reviewer,Loan Amount,Currency,Sustainability Performance Targets,Characteristics of the loan,Reporting Policy
Mitsui Fudosan Logistics Park Inc.,Finance (including REITs),"The Chiba Bank, Ltd.","March, 2024",7 years,"Rating & Investment Information, Inc.　",1,billion yen,Reduce CO2 emissions intensity of logistics real estate (Scope 1 and 2) by 90% from 2016 levels by the end of 2027,The interest rate from the timing of the decision to the due date varies depending on the achievement of the SPT.,"The Fund plans to disclose KPI performance annually on its website. All stakeholders, including lenders, will have access to publicly available information on the SPT's performance for each calculation year."
Mitsui Fudosan Logistics Park Inc.,Finance (including REITs),Sumitomo Mitsui Banking Corporation,"March, 2024",8 years,"Rating & Investment Information, Inc.　",1.4,billion yen,Reduce CO2 emissions intensity of logistics real estate (Scope 1 and 2) by 100% from 2016 levels by the end of 2030,The interest rate from the timing of the decision to the due date varies depending on the achievement of the SPT.,"The Fund plans to disclose KPI performance annually on its website. All stakeholders, including lenders, will have access to publicly available information on the SPT's performance for each calculation year."
Mitsui Fudosan Logistics Park Inc.,Finance (including REITs),Shinkin Central Bank,"March, 2024",8 years,"Rating & Investment Information, Inc.　",1.5,billion yen,Reduce CO2 emissions intensity of logistics real estate (Scope 1 and 2) by 100% from 2016 levels by the end of 2030,The interest rate from the timing of the decision to the due date varies depending on the achievement of the SPT.,"The Fund plans to disclose KPI performance annually on its website. All stakeholders, including lenders, will have access to publicly available information on the SPT's performance for each calculation year."
Mitsui Fudosan Logistics Park Inc.,Finance (including REITs),"Resona Bank,Ltd.","March, 2024",8 years6ヶ月,"Rating & Investment Information, Inc.　",0.5,billion yen,Reduce CO2 emissions intensity of logistics real estate (Scope 1 and 2) by 100% from 2016 levels by the end of 2030,The interest rate from the timing of the decision to the due date varies depending on the achievement of the SPT.,"The Fund plans to disclose KPI performance annually on its website. All stakeholders, including lenders, will have access to publicly available information on the SPT's performance for each calculation year."
Mitsui Fudosan Logistics Park Inc.,Finance (including REITs),The Norinchukin Bank,"March, 2024",9 years,"Rating & Investment Information, Inc.　",0.5,billion yen,Reduce CO2 emissions intensity of logistics real estate (Scope 1 and 2) by 100% from 2016 levels by the end of 2030,The interest rate from the timing of the decision to the due date varies depending on the achievement of the SPT.,"The Fund plans to disclose KPI performance annually on its website. All stakeholders, including lenders, will have access to publicly available information on the SPT's performance for each calculation year."
Mitsui Fudosan Logistics Park Inc.,Finance (including REITs),"SBI Shinsei Bank, Limited","March, 2024",9 years,"Rating & Investment Information, Inc.　",1.2,billion yen,Reduce CO2 emissions intensity of logistics real estate (Scope 1 and 2) by 100% from 2016 levels by the end of 2030,The interest rate from the timing of the decision to the due date varies depending on the achievement of the SPT.,"The Fund plans to disclose KPI performance annually on its website. All stakeholders, including lenders, will have access to publicly available information on the SPT's performance for each calculation year."
Mitsui Fudosan Logistics Park Inc.,Finance (including REITs),"Mizuho Bank, Ltd.","March, 2024",10 years,"Rating & Investment Information, Inc.　",0.8,billion yen,Reduce CO2 emissions intensity of logistics real estate (Scope 1 and 2) by 100% from 2016 levels by the end of 2030,The interest rate from the timing of the decision to the due date varies depending on the achievement of the SPT.,"The Fund plans to disclose KPI performance annually on its website. All stakeholders, including lenders, will have access to publicly available information on the SPT's performance for each calculation year."
"Yamato
（倭）",Real estate and construction,"The Gunma Bank,Ltd.","March, 2024",ー,"Gungin Consulting Co., Ltd.",ー,ー,"Reduce greenhouse gas emissions at Kyoei Kikaku, the core company of our group, by 3.85% per year based on the fiscal year ending June 30, 2023.",The incentive is designed to check the achievement of SPTs annually and reduce the interest rate when they are achieved.,"In principle, once a year, the status of achievement of the SPTs shall be reported to Gunma Bank using the prescribed form. The report shall also include prima facie evidence and data necessary for verification work."
Japan Real Estate Investment Corporation,Finance (including REITs),"The Chugoku Bank, Ltd","March, 2024",8 years,"Japan Credit Rating Agency, Ltd. ※",3,billion yen,"Reduce CO2 emissions by 80% by FY2030 (compared to FY2019, on a total amount basis)",The arrangement allows the financial characteristics to vary depending on the achievement of the SPT. The changes include a step-up/step-down in the interest rate.,"It plans to disclose on an annual basis on its website the actual results of the KPIs and the achievement of the SPTs for the reporting period, as well as information on the borrower's latest sustainability strategy in relation to the KPIs and the SPTs."
"Tohoku engineering plastics
(東北エンジニアリングプラスチック）",Manufacturing,"THE SHONAI BANK, LTD.","March, 2024",ー,"Rating & Investment Information, Inc.　　※",0.05,billion yen,Reduction of CO2 emissions,"The incentive design is such that when SPTs are achieved, the interest rate is reduced based on the terms of the contract. The interest rate reductions upon achievement are not cumulative, and if the SPTs are not reached, the interest rate is increased by a level equal to the reduction.","In principle, the borrower shall report the status of achievement of the SPTs to the branch once a year. The report should also include prima facie evidence and data necessary for verification. In principle, the contents of the reports are not disclosed to the public."
"SK .,LTD ",Others (including service industry),"The Gunma Bank,Ltd.","March, 2024",ー,"Gungin Consulting Co., Ltd.",ー,ー,Reduce greenhouse gas emissions by 2.7% per year from March 2023 level,The incentive is designed to check the achievement of SPTs annually and reduce the interest rate when they are achieved.,"In principle, once a year, the status of achievement of the SPTs shall be reported to Gunma Bank using the prescribed form. The report shall also include prima facie evidence and data necessary for verification work."
Mitsui Fudosan Logistics Park Inc.,Finance (including REITs),"Mizuho Trust & Banking Co., Ltd.","March, 2024",9 years,"Rating & Investment Information, Inc.　",0.6,billion yen,Reduce CO2 emissions intensity of logistics real estate (Scope 1 and 2) by 100% from 2016 levels by the end of 2030,The interest rate from the timing of the decision to the due date varies depending on the achievement of the SPT.,"The Fund plans to disclose KPI performance annually on its website. All stakeholders, including lenders, will have access to publicly available information on the SPT's performance for each calculation year."
Okabayashi Turigu.,Wholesale and retail trade,"The Hyakujushi Bank, Ltd.","March, 2024",ー,114 Economic Research Institute,ー,ー,"Percentage reduction in electricity consumption at two retail stores compared to the base year (December 2022 to November 2023) 
Dec. 2023 - Nov. 2024 ▲3.6％ 
Dec. 2024 - Nov. 2025 ▲7.0％ 
Dec. 2025 - Nov. 2026 ▲10.3％ 
Dec. 2026 - Nov. 2027 ▲13.5％","A mechanism has been set up to check the achievement status of SPTs on an annual basis in principle, and to reduce interest rates according to the level of achievement.","Annually, until the fulfillment of obligations is completed, the status of achievement of SPTs will be checked in the prescribed form."
"Service
(セルビス)",Wholesale and retail trade,"The Gunma Bank,Ltd.","March, 2024",ー,"Gungin Consulting Co., Ltd.",ー,ー,Reduce greenhouse gas emissions by 2.7% per year from February 2024 level,The incentive is designed to check the achievement of SPTs annually and reduce the interest rate when they are achieved.,"In principle, once a year, the status of achievement of the SPTs shall be reported to Gunma Bank using the prescribed form. The report shall also include prima facie evidence and data necessary for verification work."
Alps Pia Home,Real estate and construction,"THE HACHIJUNI BANK,LTD.","March, 2024",ー,"Japan Credit Rating Agency, Ltd.",ー,ー,"①  To increase the annual number of houses constructed to 389 by FY2027 
② Achieve a ZEH ratio of at least 80% in the number of housing units constructed in a single fiscal year (including Nearly ZEH)",Interest rates vary depending on whether the pre-set SPT is achieved or not,"Alps Pia Home will report its performance and other information related to the KPIs of this loan to the Japan Environmental Co-creation Initiative through the ZEH Builder Program, which it registered in 2016, and publicize the information on its website."
"East Japan Engineering
(東日本エンジニアリング）",Others (including service industry),"THE SHONAI BANK, LTD.","February, 2024",ー,"Rating & Investment Information, Inc.※",0.15,billion yen,Improvement of paid leave utilization rate,"The incentive design is such that when SPTs are achieved, the interest rate is reduced based on the terms of the contract. The interest rate reductions upon achievement are not cumulative, and if the SPTs are not reached, the interest rate is increased by a level equal to the reduction.","In principle, the borrower shall report the status of achievement of the SPTs to the branch once a year. The report should also include prima facie evidence and data necessary for verification. In principle, the contents of the reports are not disclosed to the public."
"TSUCHIYA HOLDINGS CO.,LTD.",Real estate and construction,"THE HOKKAIDOBANK,LTD.、The Hokuriku Bank, Ltd.","February, 2024",ー,"Rating & Investment Information, Inc.　",1,billion yen,ZEH ratio to be 95% in Hokkaido and 70% in Honshu by FY2025.,The design is to reduce the interest rate if the SPTs are achieved.,Tsuchiya Holdings will submit a document confirming the achievement of SPTs to the lender once a year. The actual performance values of KPIs for each fiscal year will also be disclosed on the website.
TAISEI CORPORATION,Real estate and construction,"The Bank of Yokohama,Ltd.","February, 2024",ー,"Rating & Investment Information, Inc.　",ー,ー,"Achieve a Leadership Level (A, A-) on the CDP Climate Change Score","The SPT is designed to check the achievement of the SPT each year after FY2023, increasing the interest rate if the SPT is not achieved and subsequently reducing it to the original rate if it is achieved.","The results of the evaluation of the CDP Climate Change Score, a KPI, will be disclosed once a year on the CDP's website. Upon receipt of such disclosure, TAISEI CORPORATION will notify the lender of the achievement status of the SPT by the end of the month following the disclosure each year."
TAISEI CORPORATION,Real estate and construction,Development Bank of Japan Inc.  ,"February, 2024",ー,"Rating & Investment Information, Inc.　",ー,ー,"Achieve a Leadership Level (A, A-) on the CDP Climate Change Score","It is designed to check the achievement of the SPT based on the actual KPI performance in FY2026 and, if achieved, to reduce the interest rate from then on until repayment.","The results of the evaluation of the CDP Climate Change Score, a KPI, will be disclosed once a year on the CDP's website. Upon receipt of such disclosure, TAISEI CORPORATION will notify the lender of the achievement status of the SPT by the end of the month following the disclosure each year."
"Gebura
(ゲブラ)",Others (including service industry),"The Hiroshima Bank, Ltd. ","February, 2024",6 years,HIROGIN area design Co. Ltd. ,0.15,billion yen,"Increase in utilization of reused cups
Year 1 (2025/June) 1%
Year 2 (2026/June) 3% 
Year 3 (2027/June) 5% 
Year 4 (2028/June) 10% 
Year 5 (2029/June) 20% 
Year 6 (2030/June) 30% ","The interest rate applied during the term of the loan will be determined by the achievement of the following requirements
(1) The borrower must report to the lender in writing on the progress of its initiatives.
(2) The SPT target figures must be achieved.

If (1) is complied with, the spread will remain the same even if (2) is not met.
If (1) is complied with and (2) is achieved, the spread is designed to decrease.",The Borrower intends to provide the Lender with a written statement of its achievement of the SPT. The Borrower intends to make a statement on the Lender's website that this financing is based on a Sustainability Linked Loan.
"Tierra
(ティエラ)",Others (including service industry),"The Hiroshima Bank, Ltd. ","February, 2024",5 years,HIROGIN area design Co. Ltd. ,0.04,billion yen,"①Percentage of employees taking annual paid leave 
2023/March Actual result 76.02%
2025/March  80%
2026/March  83.30%
2027/March  86.60%
2028/March  90%
②Male employees taking maternity leave
2023/March Actual result 　0%
2025/March～2028/March     100%","The interest rate applied during the term of the loan will be determined by the achievement of the following requirements
(1) The borrower must report to the lender in writing on the progress of its initiatives.
(2) The SPT target figures must be achieved.

If (1) is complied with, the spread will remain the same even if (2) is not met.
If (1) is complied with and (2) is achieved, the spread is designed to decrease.",The Borrower intends to provide the Lender with a written statement of its achievement of the SPT. The Borrower intends to make a statement on the Lender's website that this financing is based on a Sustainability Linked Loan.
"Fujio nuts farm
(フジオナッツファーム) ","Food, Beverages, Tobacco, etc.","The Hiroshima Bank, Ltd. ","February, 2024",7 years,HIROGIN area design Co. Ltd. ,0.04,billion yen,"①Male employees taking maternity leave
2023/August Actual result　100%
2024/August～2031/August　100%
②Percentage of employees taking annual paid leave 
2023/August Actual result  17.2%
2024/August　20%
2025/August　25%
2026/August　30%
2027/August　40%
2028/August　50%
2029/August　60%
2030/August　70%
2031/August　70%
③Number of employees with disabilities
2023/August Actual result　1 person
2024/August～2031/August　　1 person/each FY","The interest rate applied during the term of the loan will be determined by the achievement of the following requirements
(1) The borrower must report to the lender in writing on the progress of its initiatives.
(2) The SPT target figures must be achieved.

If (1) is complied with, the spread will remain the same even if (2) is not met.
If (1) is complied with and (2) is achieved, the spread is designed to decrease.",The Borrower intends to provide the Lender with a written statement of its achievement of the SPT. The Borrower intends to make a statement on the Lender's website that this financing is based on a Sustainability Linked Loan.
"YONKEN-Plant Co., Ltd. ",Others (including service industry),"The Hyakujushi Bank, Ltd.","February, 2024",ー,114 Economic Research Institute,ー,ー,"Annual gasoline consumption per unit of sales (gasoline consumption (L)/Net sales) 
2024/Oct. 0.0156
2025/Oct. 0.0140","A mechanism has been set up to check the achievement status of SPTs on an annual basis in principle, and to reduce interest rates according to the level of achievement.","Annually, until the fulfillment of obligations is completed, the status of achievement of SPTs will be checked in the prescribed form."
Tsujimura Construction CO.LTD ,Manufacturing,"The Hyakujushi Bank, Ltd.","February, 2024",ー,114 Economic Research Institute,ー,ー,Ratio of recycled product sales volume to total sales volume,"A mechanism has been set up to check the achievement status of SPTs on an annual basis in principle, and to reduce interest rates according to the level of achievement.","Annually, until the fulfillment of obligations is completed, the status of achievement of SPTs will be checked in the prescribed form."
