"Title","Created","LastEdited","Agency","Description","ProblemBy","ProblemOf","Status","Votes","ID"
"Deaths by all Cause Mortality for New Zealand","2022-08-25 15:53:23","2024-04-13 20:14:51","Department of Internal Affairs","Deaths by all causes for each year or part year (shown  by comparative year ) for the years July 31st  2017 to July 31st 2022 - current 
showing deaths by :
Year
Age
Gender 
Cause ( as reported on  death certificate )
Sub Cause  - Suicide, Death by accident  - self inflicted,  Death by accident - motor vehicle, other deaths (specify  the class of ""other "")
Death Certificate  authored by  - list by  Doctor , pathologist, Coroner , NZ  Police , specified other 

i would like in a Microsoft excel format  please ","The Office of the Chief Coroner refusing to make summary deaths cause data available  by Judicial privilege.","Explaining the unexpected increase in all cause mortality , that is not explained deaths ""By"" or ""With"" Covid ","Agency responded","2769","777"
"All postcodes","2019-10-22 16:31:57","2024-05-17 13:28:02","New Zealand Post Limited","List of all NZ postcodes, name of suburb associated with the postcode, along with associated geographic shape of the postcode area (in WKT form ideally) - all available to be downloaded into a single CSV file. Having the total population within each postcode would be a bonus.","Having a clear and complete set of postcodes that is easily accessible, and can easily use for analysis in bulk.","Currently it is difficult to identify which NZ postcodes exist, and what area they cover. At the moment, the only source of NZ postcodes seems to be a series of PDF files, which are difficult to run analyses on.","Agency responded","652","433"
"Updated List of Accredited Employers","2022-08-27 21:54:15","2024-05-19 22:23:21","Ministry of Business Innovation and Employment","Name and careers website of employers who completed their application for the Accredited Employer Work Visa (AEWV) scheme by sector","increasing the awareness of migrant workers with temporary visa and their knowledge of potential employers who could sponsor for work and possibly extend their length of stay in New Zealand. This would also help the migrant workers verify if the employers offering them permanent job offer are indeed accredited.","Previously, the list of accredited employers was published in the NZ Immigration website. However, when the AEWV scheme was launched, the list was no longer available.","Agency notified","636","780"
"Property & Rating Valuation Data","2011-04-06 12:59:33","2024-05-04 08:39:49","Quotable Value Limited","Data relating to properties in New Zealand - Rating Valuations, Construction Materials/Date, Floor/Land Areas, Legal Descriptions & Title numbers","Allowing Open Govt advocates to build a simple, openly accessibly API to this data for the aforementioned services.","Allowing Kiwi companies to build innovative services utilizing this data, or interesting views on this data - especially given that it is relevant to a large proportion of home-owning New Zealanders. Consider something like http://mashblock.co.nz, for instance.","Agency responded","178","3"
"Vaccine Injury compensation ","2019-08-30 11:01:03","2024-05-06 17:05:25","Accident Compensation Corporation","I would like to know the total number of claims both declined and accepted by acc since acc was established, as well as the total moneys paid out to successful claimants. ","Providing assurance to parents hestitant to vaccinate for fear of injury. ","Providing evidence that our government agency looks after those negatively effected by vaccines, to boost confidence in vaccinating. ","Agency responded","163","419"
"New Zealand national and local holidays calendars","2014-01-20 10:06:03","2024-04-16 16:39:38","Ministry of Business Innovation and Employment","Please make available iCalendar (.ics) files of New Zealand national and local holidays. 
Note this was previously available but the link no longer works.  e.g. 
http://www.dol.govt.nz/er/holidaysandleave/publicholidays/publicholidaydates/ical/public-holidays-national.ics","","Being able to automatically schedule computer jobs for one of my clients, without them having to maintain their own calendar file.","Agency responded","157","182"
"Accident blackspot","2013-10-30 16:26:08","2020-06-02 23:03:15","Ministry of Transport","Request accident blackspots with accurate Latitude and Longitude. Data format call be CSV or whatever it suit.","","That would help on improving road safety.

","Agency responded","147","175"
"MP Voting Record","2014-05-12 18:45:06","2024-04-12 13:02:46","Office of the Clerk of the House of Representatives","I would like a publicly searchable database to be created or made available, that lists how each member of parliament votes (yes, no, abstain) in each occasion that they are required to vote. 
or at least a spread sheet with this information.
It should list each required voting opportunity and how each mp voted and a date. ","it would enable the public to make an informed decision who to vote for, because people would be able to easily see what each MP/ party actually believes and stands for and if they have high integrity and can they be trusted to fairly represent the majority view of their constituents.
I know that I could attend a meeting to get to know an MP, but that is an old world method of information dissemination, in this new world of information technology a public website devoted to providing this info/tool could dramatically increase voter turn out, and lead to a fairer more democratic result. 
After all MPs are elected to represent, so they should provide detailed info on how they are representing, so that constituents can  ""hire or fire"" those MP's for not meeting their KPI's in the next election","presently I personally have a lot of trouble deciding who to vote for or which party to vote for, because I do not know the mp and some of the actions parties make are not decisions I agree with. I expect a lot of other people share my dilemma. I am nearly at the point of abstaining from voting due to lack of trust. 
So providing this data to the public (updated daily) would allow the public to begin to know and trust (build confidence in) the MP's and their Parties based on being able to see how they vote and how that is aligned with individual voters views. It would be much like the system Trade me use where you get to leave feedback on each others accounts which enables trade me members to know whether the trader has good or poor trading integrity.","Agency responded","116","192"
"NZ Localities","2011-04-06 14:03:18","2021-01-18 10:01:01","New Zealand Fire Service Commission","Datasets managed and maintained by the New Zealand Fire Service that related to 'localities' e.g. cities and towns, as well as suburbs and other means of identifying location. The data is currently available for free under restrictive license terms. All that is needed is a change in licensing to support the release of NZ Localities under a license compatible with the NZ GOAL framework.","The NZ Localities dataset is partially open, but its use  limited under a restrictive license. All that is being asked is for the license to be changed to a Creative Commons license that is compatible with NZ GOAL.","Other than the Statistics NZ Digital Boundaries (regions, TAs, mesh blocks, census area units) there are no commonly defined units like suburbs, cities and towns. This has many geospatial applications for business, non-profits, and even recreational uses.","Agency responded","103","4"
"New Zealand Parliamentary Votes","2011-10-04 16:31:36","2024-03-06 16:38:56","Office of the Clerk of the House of Representatives","Data set containing all bills voted on by parliament, recording details of the issue/bill (date, name, abstract, URL to more data, etc.) which MPs voted and which vote (aye, nay [abstain?]) they each cast.

I'm not sure if it's easier to try and collate this on a per-bill basis, or a per-MP basis.","Giving flexible access to raw voting record data to the general public","Analysing MP voting records and parliamentary voting statistics.","Agency responded","99","57"
"MP voting records API","2014-04-18 17:26:57","2024-04-12 13:03:03","Office of the Clerk of the House of Representatives","An API (XML and/or JSON) of which MPs have voted yes/no/abstained at each reading of each bill. Information is currently available in Hansard but this is not machine-readable. The API should be updated as close to real-time as possible - eg when the debates are put online.","Allowing websites to automatically track voting records without having to manually trawl through Hansards to extract data by hand.","Providing transparency of MPs' voting records, enabling better engagement with MPs on legislation of interest.","Agency responded","99","189"
"Walking Access Data Vector Download","2012-09-06 01:39:10","2017-04-05 08:52:03","New Zealand Walking Access Commission","Vector polygon download of the various layers available at wams.org.nz

That site is a great tool, and recent upgrades include a mobile app, but many of the publicly accessible areas are outside of 3G cell coverage, defeating the purpose of the real-time mapping app.

The vector polygon datasets of publicly accessible areas could be offered as a download, hosted at Koordinates.com, data.linz.govt.nz or somewhere similar.","Allowing a vector dataset download will allow opensource developers to create mapping products that can be stored on tablets, smartphones and GPS receivers, enhancing access to the data for end users (by not requiring a mobile connection for a realtime feed from wams.org.nz), and therefore enhancing access opportunities to the public access areas, which is the overall goal.","requiring a live internet connection to access the information on a portable device, i.e. smartphone with GPS.","Dataset added","94","114"
"Bulk sale price data for individual houses","2014-05-15 17:35:35","2024-02-19 14:07:41","Ministry of Business Innovation and Employment","Bulk sale price data for all house sales in New Zealand, along with any other supporting data e.g.: method sold (auction/etc), number bedrooms, bathrooms, size sqm, land size etc.

This data should be available as a bulk feed/API, supporting historical queries and returning all available data.","giving access to house purchasers, through direct access or publication by any interested party.","Having access and being able to easily find house sale price data for a variety of analysis and visualisations. House purchasers have little access to compare the histories of house sales without paying significant amounts of money.

Other countries have much better access to this data than New Zealand (e.g.: Zillow in the US) for free. This data is part of the public record and allowing bulk access will bring NZ into line with other countries.","Agency responded","83","195"
"Building Occupancy (Commercial, Residential, industrial)","2013-10-18 22:36:14","2021-05-31 11:08:51","Ministry of Business Innovation and Employment","Looking for building occupancy information. (Commercial, Residential, industrial)","Help in understanding the distribution of exposures","This would solve creating industry exposure data development","Agency responded","82","174"
"2013 Vehicle Volumes","2013-11-28 11:39:17","2018-05-16 10:28:49","New Zealand Transport Agency","Total vehicle registrations as at March 2013.
Makes and models of vehicles registered
Average age of motor vehicles
Vehicle numbers by city breakdown","","To enable specific target marketing of products","Agency notified","82","178"
"New Zealand Active Faults Database","2011-04-11 12:58:41","2023-07-05 22:10:45","Institute of Geological and Nuclear Sciences Limited","GNS Science maintains the New Zealand Active Faults Database. This database has been designed to hold all data collected from investigations of active faults.","By releasing the underlying geospatial data contained in the Active Faults database, this would enable community groups and businesses (and likely others) to mash up their data with the active faults database and better understand some of their generalised earthquake risk.","Currently the active faults database is 'locked' behind a web map and form. It is not possible for businesses or community organisations to extract the data and overlay it with their own geospatial data - such as a map of their business assets.","Agency responded","81","14"
"Workplace Injuries and Deaths","2013-12-02 16:22:35","2015-10-19 10:50:48","Statistics New Zealand","Could the Department of Labour or ACC please provide current (2013) historical data on workplace mortality and injury rates by sector.

Please provide data in both XLS and API (XML / JSON) formats","Allowing better reporting and analysis of performance against known rates.","Better visibility and trends analysis on national occupational health incidents / hazards and how individual sectors, regions or businesses compare to broader trends","Dataset already listed","81","180"
